;Periodic Table of Elements and Ions												
;For Use With Java Elements v1.0												
;Copyright 1996 © Leprechaun Software. All Rights Reserved												
;Element Information from World Book Encyclopedia												

;Atomic	Name	Symbol	State	Density	Electro-	Year	Melting	Boiling	Atomic	Ion1	Ion2	 Comment
;Number				"S,L(g/cm3)"	Negativity	Discovered	Point	Point	Molar			
;				G(g/L)					Mass(g/mol)			

1	Hydrogen	H	Gas	0.0899	2.1	1766	-259	-253	1.01	1	-1	"Tasteless, odorless gas  and one of the most important elements.  Hydrogen comes from the greek word meaing water former.  Henry Cavendish, and English scientist, releaved the properties of hydrogen and identified it as an element in 1766."
2	Helium	He	Gas	0.179	NA	1895	-272	-269	4	NA	NA	"Lightweight, inert gas.  Comes from the Greek word helios, meaing sun.  This is because Helium was first evidenced by a French astronomer Pierre J. Janssen, in 1868, in the sun."
3	Lithium	Li	Solid	0.534	1	1817	181	1342	6.94	1	NA	"Soft, silvery-white metallic element, and the lightest known element.  It reacts with water, similar to sodium, to produce hydrogen gas, however, unlike sodium this reaction does not usually ignite hydrogen. Discovered in 1817 by Johann August Arfvedson."
4	Beryllium	Be	Solid	1.85	1.5	1828	1278	2970	9.01	2	NA	"Rare, light-gray metallic element. The Germon chemist Friedrich Wohler and the French chemist A. A. Bussy, isolated the first extracts of this pure element in 1826. Having a great capacity for absorbing and conducting large amounts of heat energy."
5	Boron	B	Solid	2.34	2	1808	2300	2550	10.81	NA	NA	Yellish-brown crystal. First isolated in 1808 by Sir Humphery Davy of England. Boron has the ability to absorb neutrons without being changed by them. Large amounts of this element is poisonous..
6	Carbon	C	Solid	2.26	2.5	Ancients	3550	4827	12.01	NA	NA	NA
7	Nitrogen	N	Gas	1.25	3	1772	-210	-196	14.01	-3	NA	NA
8	Oxygen	O	Gas	1.43	3.5	1774	-218	-183	16	-2	NA	NA
9	Flourine	F	Gas	1.7	4	1886	-220	-188	19	-1	NA	NA
10	Neon	Ne	Gas	0.9	NA	1898	-249	-246	20.18	NA	NA	NA
11	Sodium	Na	Solid	0.971	0.9	1807	97.8	883	22.99	1	NA	NA
12	Magnesium	Mg	Solid	1.74	1.2	1808	649	1107	24.31	2	NA	"Light, silvery-white metal. Despite its lightness, it is quite strong and often used in construction. Discovered in 1808 by the Engish chemist Sir Humphry Davy."
13	Aluminum	Al	Solid	2.7	1.5	1827	660	2467	26.98	3	NA	NA
14	Silicon	Si	Solid	2.33	1.8	1824	1410	2355	28.09	NA	NA	NA
15	Phosphorus	P	Solid	1.82	2.1	1669	44.1	280	30.97	-3	NA	"Red, white and black (violet) forms of this element exist. The red form does not burn as readily as the white. Discovered by the German alchemist, Hennig Brand."
16	Sulfar	S	Solid	2.07	2.5	Ancients	113	445	32.06	-2	NA	NA
17	Chlorine	Cl	Gas	3.21	3	1774	-101	-34.6	35.45	-1	NA	NA
18	Argon	Ar	Gas	1.78	NA	1894	-189	-186	39.95	NA	NA	NA
19	Potassium	K	Solid	0.862	0.8	1807	63.3	760	39.1	1	NA	"Silvery metallic element.  It is soft enought that it might be cut with a knife. It reacts readily with with both oxygen and water. Discovered by Sir Humphry Davy, and English chemist in 1807."
20	Calcium	Ca	Solid	1.54	1	1808	839	1484	40.08	2	NA	NA
21	Scandium	Sc	Solid	2.99	1.3	1876	1541	2836	44.96	3	NA	NA
22	Titanium	Ti	Solid	4.54	1.5	1791	1660	3287	47.88	4	3	"Lightweight, silver-gray metal. Discovered by William Gregor of England in 1791."
23	Vanadium	V	Solid	5.96	1.6	1801	1890	3380	50.94	3	4	NA
24	Chromium	Cr	Solid	7.2	1.6	1797	1857	2672	52	3	2	NA
25	Manganese	Mn	Solid	7.2	1.5	1774	1244	1962	54.94	2	4	"Brittle, silver gray, metallic element. Discovered by the Swedish chemist, Gottlieb Gahn, in 1774. Althought it can cut glass, it is to brittle to be used in construction."
26	Iron	Fe	Solid	7.87	1.8	Ancients	1535	2750	55.85	3	2	NA
27	Cobalt	Co	Solid	8.9	1.8	1735	1495	2870	58.93	2	3	NA
28	Nickel	Ni	Solid	8.9	1.8	1751	1455	2730	58.69	2	3	NA
29	Copper	Cu	Solid	8.92	1.9	Ancients	1083	2567	63.55	2	1	NA
30	Zinc	Zn	Solid	7.14	1.6	1746	420	907	65.38	2	NA	NA
31	Gallium	Ga	Solid	5.9	1.6	1875	29.8	2403	69.72	3	NA	NA
32	Germanium	Ge	Solid	5.35	1.8	1886	937	2830	72.61	4	NA	NA
33	Arsenic	As	Solid	5.73	2	1250	817	613	74.92	-3	NA	NA
34	Selenium	Se	Solid	4.81	2.4	1817	217	684	78.96	-2	NA	NA
35	Bromine	Br	Liquid	3.12	2.8	1826	-7.2	58.8	79.9	-1	NA	"Reddish liquid element. Highly reactive, readily vaporizing into a reddish-brown gas that has a strongly irritating odor. Both states or this element are highly corrosive and poisonous. Discovered by Antoine J. Balard (French) and Carl J. Lowig (German)"
36	Krypton	Kr	Gas	3.74	NA	1898	-157	-152	83.8	NA	NA	NA
37	Rubidium	Rb	Solid	1.53	0.8	1861	38.9	686	85.47	1	NA	NA
38	Strontium	Sr	Solid	2.6	1	1808	769	1384	87.62	2	NA	NA
39	Yttrium	Y	Solid	4.47	1.3	1794	1522	3338	88.91	NA	NA	NA
40	Zirconium	Zr	Solid	6.49	1.4	1789	1852	4377	91.22	NA	NA	NA
41	Niodium	Nb	Solid	8.57	1.6	1801	2468	5127	92.91	NA	NA	NA
42	Molybdenum	Mo	Solid	10.2	1.8	1778	2610	5560	95.94	NA	NA	"Hard, silvery-white metallic element. Discovered by Carl Wilhelm in 1778, a Swedish chemist. Often used in making aircraft and missile parts, as well as a catalyst for many industrial processes."
43	Technetium	Tc	Synthetic	11.5	1.9	1937	2172	4877	98.91	NA	NA	First artificially created element. Carlo Perrier and Emilio Segre from Italy first isolated technetium. Name orginates from the word technetium which means artifical.
44	Ruthenium	Rh	Solid	12.4	2.2	1844	2310	3900	101.07	NA	NA	NA
45	Rhodium	Rh	Solid	12.4	2.2	1803	1966	3727	102.91	NA	NA	NA
46	Palladium	Pd	Solid	12	2.2	1803	1554	2970	106.42	2	4	"Soft, shiny, silvery-white metal. Fined divided palladum, called palladium black, is used as a catalyst.  Discovered  by the English chemist, William H. Wollaston in 1803."
47	Silver	Ag	Solid	10.5	1.9	Ancients	962	2212	107.87	1	NA	NA
